"","RM_RF","SMB","HML"
"263",5.09,-2.35,-0.87
"264",1.27,0.36,0.5
"265",-0.74,2.91,-1.65
"266",-1.02,-0.31,2.32
"267",-4.54,-1.83,1.28
"268",4.02,-1.55,0.79
"269",6.48,0.01,-2.88
"270",3.88,-0.39,-1.51
"271",0.65,1,0.51
"272",7.13,-0.75,-0.89
"273",4.88,-0.55,-0.47
"274",-1.31,2.93,-2.84
"275",4.62,-1.26,-0.12
"276",1.03,-0.89,1.37
"277",-6.45,-3.55,4.78
"278",6.07,-4.35,3.51
"279",-8.6,1.96,3.18
"280",4.66,-2.37,-1.44
"281",1.17,-1.92,-0.13
"282",-3.27,0.07,0.3
"283",12.47,-1.5,-3.17
"284",4.39,3.41,-5.98
"285",1.64,0.2,1.64
"286",-2.11,-1.55,-0.32
"287",0.11,-0.58,0.12
"288",3.94,-2.29,1.06
"289",3.85,-1.08,0.71
"290",3.52,-0.9,-0.93
"291",-2.59,0.4,0.28
"292",-23.24,-8.14,4.23
"293",-7.77,2.84,3.08
"294",6.81,0.09,-4.45
"295",4.21,-0.56,5.17
"296",4.75,3.34,-1.65
"297",-2.27,6.24,0.75
"298",0.56,1.12,1.68
"299",-0.29,-2.6,2.28
"300",4.79,2.17,-1.11
"301",-1.25,-0.16,2.27
"302",-3.31,0.01,2.08
"303",3.3,-1.31,-0.69
"304",1.15,-2.95,1.68
"305",-2.29,-1.66,1.27
"306",1.49,1.99,-1.55
"307",6.1,-2.22,0.53
"308",-2.25,2.66,0.88
"309",1.57,0.75,0.48
"310",4.33,-0.69,-1.47
"311",3.35,0,-0.83
"312",-1.35,-1.07,2.16
"313",7.2,-4.05,-2.85
"314",1.44,0.44,0.75
"315",-0.76,0.45,-1.31
"316",-3.67,-3.31,-1.07
"317",1.03,-1.33,-1.06
"318",1.16,-2.31,0.24
"319",-7.85,-1.37,0.83
"320",1.11,1.17,0.65
"321",1.83,1.62,-2.9
"322",-3.36,-0.41,-2.53
"323",8.42,-2.37,-3.77
"324",-1.09,1.37,-1.98
"325",-1.9,-3.29,-0.01
"326",-10.14,-3.88,1.63
"327",-6.12,-3.77,0.74
"328",-1.92,-5.11,0.29
"329",6.35,-0.06,-3.11
"330",2.46,0.65,-1.56
"331",4.69,3.88,-1.84
"332",7.19,3.93,-0.54
"333",2.65,3.84,-1.24
"334",-0.28,0.35,1.4
"335",3.64,0.17,-0.56
"336",-4.94,0.15,1.21
"337",4.24,-0.95,-1.27
"338",2.32,1.48,-0.8
"339",-1.59,1.55,-0.98
"340",1.28,0.9,-0.44
"341",-4.19,-0.88,-1.91
"342",10.83,-2.39,-4.04
